tmpID,FirsName,LastName,prospectSpend
1504,Horace,Goodwin,249.65300664956
328,Louise,Wisozk,388.862305484534
5448,Dorian,Douglas,225.073512677363
3907,Eden,Tremblay,382.452256900336
1728,Yer,King,302.530899405742
3716,Chong,Wilderman,319.904062229938
1920,Lamar,Dickinson,299.7196854081
5190,Roscoe,Grant,296.53975277722
4395,Wilburn,Collins,303.435774133727
1458,Virgil,Reichert,300.648524264234
4835,Marcos,Casper,249.097640351818
5943,Wally,Hegmann,321.119217189813
2090,Jeromy,Bashirian,309.663355503474
491,Hunter,Daugherty,267.934088435918
3909,Brunilda,Jewess,275.008655923031
51,Norberto,Lehner,303.488081904434
1732,Leeanne,Feeney,274.745119444225
953,Randall,Spinka,265.122219510547
2483,Jerold,Rogahn,354.329032353918
1230,Chelsie,Howell,305.193123345967
5239,Dannie,Cronin,373.271904506734
261,Nigel,Herman,273.90480452782
947,Damon,Collins,300.323018236715
217,Yadira,Bode,306.530239345051
3022,Donny,Leuschke,344.258075131379
2076,Quentin,Sporer,275.202012926655
867,Rhett,Yundt,17.1043629532779
1459,Jerilyn,Schulist,294.273345616085
419,Jamee,Stroman,259.150796111815
3386,Brant,Nicolas,273.453225089957
1203,Freddie,DuBuque,179.950661255263
5578,Young,Parker,294.619663599264
639,Kelvin,McDermott,353.161960264099
3712,Mauro,Hoeger,280.243537382791
3375,Caleb,Koss,287.972728241568
1545,Agustin,Douglas,340.399497020514
4474,Donte,Rice,298.551108294596
4444,Abdul,Orn,308.891012675884
5274,Lonnie,Brown,298.286673453988
1817,Elroy,Waelchi,258.35199738429
5033,Bennett,Dickinson,382.739305984045
52,Ambrose,Stark,378.458368028796
2064,Kum,Lind,321.22337847942
4520,Ronny,Trantow,276.449083754556
3053,Lashay,Bartoletti,236.338403943004
5279,Stanford,Schuster,118.896698103659
3433,Luisa,Cassin,306.434581075866
5005,Harold,Donnelly,203.876960742717
4863,Arie,Kerluke,322.618469526955
3745,Daryl,Lakin,303.393340158252
4163,Taylor,Trantow,265.880205091907
4348,Janett,Bruen,402.829140724694
5018,Vivien,Kunde,176.741996673268
4720,Charolette,Lakin,297.723517513827
3801,Manuel,Russel,314.380154888414
1654,Jamee,Ondricka,273.710838385832
5188,Lon,Wilderman,205.457681591517
4418,Tammera,Brakus,298.754147965562
1970,Jim,Rodriguez,355.160665938565
3962,Maurice,Schuppe,277.3071823801
5193,Ariel,Wolff,367.916103118895
4578,Jame,Stanton,377.714105480503
2817,Benny,Price,376.147252640574
1782,Jinny,Stracke,304.566970815443
2397,Charlott,Bahringer,330.485338980695
5940,Lita,Considine,343.000472049508
3118,Vance,Padberg,339.604278869998
4522,Donnetta,Kohler,298.720417831291
3555,Loria,Hansen,299.061810061053
4189,Hollis,Weimann,108.693714039553
3542,Madonna,Braun,226.523133464782
3322,Tempie,Schneider,315.789204995969
2252,Prince,Mraz,296.657624900595
5720,Diane,Steuber,339.458722992692
3457,Elnora,Bauch,336.684269806298
990,Sharmaine,Swaniawski,308.984598067433
1323,Neville,McClure,315.136083917975
1500,Tonda,Hagenes,342.054226655733
5806,Twana,Doyle,296.60621197629
3140,Les,Breitenberg,300.064570403226
2290,Lakia,Hilpert,299.68929655999
3824,Wilburn,Schaefer,326.481548120457
3859,Russel,Price,351.667969653408
3998,Shira,Lind,300.612753320499
1035,Jacinto,Schneider,388.554461520719
3269,Porter,Gottlieb,289.794430999391
1867,Nicholas,Powlowski,278.077003258965
2886,Dorthea,Huel,292.660958832087
5667,Garfield,Casper,162.39931578027
1251,Maryln,Hammes,310.211934545102
4549,Alvin,Windler,378.21474210653
4568,Margarito,Pouros,309.183937009354
4849,Glenn,McGlynn,353.336910083534
4020,Gita,Beer,305.407205592319
2716,Wilton,Kub,214.254541966147
1389,Toby,McKenzie,304.246892157027
196,Elmer,Klein,325.261905855444
715,Virgil,Mitchell,177.78847845442
1969,Stephania,Schimmel,314.241955263951
965,Marty,Bergnaum,281.958408983715
885,Chassidy,Labadie,286.004376636217
4532,Nydia,Daugherty,336.033173552124
1583,Krissy,Wiegand,288.968036027412
1462,Cortez,Jast,296.877298341708
2069,Tom,Eichmann,263.488632927475
1421,Nicki,Prohaska,308.628871800022
5183,Damion,Tromp,296.98714747758
3061,Percy,Daniel,313.31698372659
1663,Jimmie,Lakin,322.111397047244
4322,Eric,Collier,254.725249090363
1952,Orlando,Koch,305.609748148194
2339,Nicky,Hayes,365.184382546296
1468,Dewayne,Grimes,304.593187066989
1165,Tawana,Koch,265.854783998544
1599,Brent,Langworth,392.617154217863
455,Jolanda,Halvorson,346.812920950733
1870,Cassy,Schroeder,331.965648203715
3690,Jesse,Gibson,337.105224978315
429,Kaitlin,Kunde,292.585846366871
5434,Ilda,Huel,268.451787541333
5533,Mistie,Heidenreich,276.91784896254
5150,Antone,Wolff,268.675992677189
3170,Jesse,Raynor,275.479697827092
1045,Enid,Aufderhar,305.936963363321
839,Keenan,Torphy,291.70311573063
5616,Lorina,Marquardt,302.16434762251
445,Jewel,Paucek,294.658040663523
745,Duncan,Ryan,305.168625756687
4553,Owen,Konopelski,273.860259296697
4261,Dwain,Pagac,287.899345639529
5090,Kirby,Wilkinson,281.204375479643
3471,Viviana,Price,324.96497220258
868,Doug,Paucek,274.430854352393
5004,Guadalupe,Bechtelar,288.562391264821
5763,Ana,Feest,295.639331339236
2299,Herschel,Kerluke,289.497523624915
3702,Jesse,Borer,327.627729685394
5373,Russell,Reynolds,285.401960708009
1,Foster,Klocko,399.894700631175
3234,Marquetta,Zulauf,399.797310750094
4814,Cortez,Schumm,364.8233731042
2096,Denver,Bashirian,329.38215496532
3505,Kevin,Hickle,303.549113984169
27,Marty,Daniel,368.511200553813
3983,Melonie,Hodkiewicz,205.525888435096
3196,Abdul,Barton,345.627190888678
2593,Rona,Swift,214.412243268148
5203,Stacy,Macejkovic,265.895920150808
2923,Chantell,Barton,288.174612380657
3150,Melodee,Waters,321.014094168077
4466,Dani,Lakin,282.342344822944
3183,Jesus,Bashirian,309.05479360225
2296,Devon,Hackett,184.945124259108
5391,Darlena,Hagenes,209.113326463858
1385,Russel,Lakin,286.515396280879
4690,Kris,Blanda,300.681105583809
2811,Cole,Douglas,298.866792312594
3529,Emilio,Kuphal,236.057761951505
